factory_id,company_name,primary_category,product_keywords,oem_signal,odm_signal,certification_signal,location_signal,mvp_fit,source_url,verification_status,next_action,notes
F020,주식회사 새한그레인,곡물스낵 OEM/ODM,"곡물,원료,식품,유탕스낵,건조,퍼핑,초코코팅,시즈닝",Y,Y,"HACCP,FSSC22000",경남 김해,A,https://www.foodpolis.kr/fbip/co/fe/inst/view.do?instId=853de26e-1e4a-49b5-8107-19894e01707b,공공DB상세확인,"곡물 스낵 Case 001 후보로 MOQ 확인","푸드이음 상세 기준 곡물 기반 건강 스낵 OEM/ODM 전문기업"
F021,주식회사 대두식품,쌀가루/프리믹스 OEM/ODM,"쌀가루,곡류가공품,떡,빵,프리믹스",Y,Y,HACCP,전북 군산,B,https://www.foodpolis.kr/fbip/co/fe/inst/view.do?instId=aad0c381-f284-4235-91c6-8c091438e569,공공DB상세확인,"쌀가루·프리믹스 원료 후보 확인","푸드이음 상세 기준 쌀가루 개발 및 OEM/ODM 생산 방식 공개"
F022,예그린식품,식품OEM,"식품",Y,Y,미확인,경기 시흥,C,https://www.foodpolis.kr/fbip/co/fe/search/sub/oemodm?type=search5,공개정보확인,"생산품목 추가 확인","푸드이음 등재"
F023,락토코리아(주),분말/프리믹스 OEM/ODM,"튀김가루,부침가루,치킨튀김가루,B2B대포장,B2C소포장",Y,Y,HACCP,충남 청양,B,https://www.foodpolis.kr/fbip/co/fe/inst/view.do?instId=065abad4-c178-4ccd-b511-23ec877b2961,공공DB상세확인,"프리믹스·분말 원료 후보 확인","푸드이음 상세 기준 OEM/ODM 생산 방식과 HACCP 확인"
F024,거류영농조합법인,원료소재 OEM/ODM,"농산원료,원료소재",Y,Y,미확인,경남 고성,C,https://www.foodpolis.kr/fbip/co/fe/search/sub/oemodm?type=search5,공공DB확인,"농산 원료와 완제품 생산 가능 여부 확인","푸드이음 원료 소재 OEM/ODM 등재"
F025,(주)나루아토,원료소재 OEM/ODM,"원료소재,가공원료,디저트원료,시럽,파우더,캔디",Y,Y,HACCP,경남 진주,C,https://www.foodpolis.kr/fbip/co/fe/inst/view.do?instId=a590f167-0e56-45e4-ad40-6ff996bb2bf4,공공DB상세확인,"소재 카테고리와 샘플 대응 여부 확인","푸드이음 상세 기준 OEM/ODM 생산 능력 및 HACCP 확인"
F026,(주)희망그린식품,원료소재 OEM/ODM,"분말,과립,스틱,인스턴트 커피",Y,Y,미확인,경기 안성,B,https://speranzafood.co.kr/_NBoard/board.php?bo_table=inquiry,공개정보확인,"커피·분말 스틱 OEM 가능 범위 확인","푸드이음 원료 소재 등재 및 공개 문의 사례 확인"
F027,선해수산,수산스낵/건어포 OEM/ODM,"명태연육,황태스틱,수산스낵,조미건어포",Y,Y,"HACCP,FSSC22000,FDA",전북 익산,C,https://www.foodpolis.kr/fbip/co/fe/inst/view.do?instId=67237c17-eb93-4e52-83b3-a97a5a79b849,공공DB상세확인,"수산스낵·건어포 OEM/ODM 후보 확인","푸드이음 상세 기준 명태 연육 가공품·황태 스틱과 인증 공개"
F028,(주)신비바이오,건강기능식품/일반식품 OEM,"건강기능식품,일반식품,정제,액상,분말,스틱,환",Y,Y,"GMP,HACCP",미확인,A,https://sinbibio.co.kr/,공개정보확인,"소량 MOQ와 일반식품/건기식 분리 상담","소량 다품종과 올인원 프로세스 공개"
F029,우리바이오(주),건강기능식품 OEM/ODM,"건강기능식품,천연물 원료,제형별 맞춤 공정",Y,Y,"GMP,HACCP",미확인,B,https://www.wooreebio.co.kr/oem-odm/,검색결과확인,"제형과 소량 대응 여부 확인","건강기능식품 OEM/ODM 및 맞춤 공정 공개"
F030,관주식품,동결건조/분말 OEM/ODM,"분말,분말스틱,식품원료,동결건조",Y,Y,미확인,미확인,A,https://gwanjufood.co.kr/page_HHwY60,검색결과확인,"분말 스틱과 원료 소싱 범위 확인","분말·스틱·식품원료 OEM/ODM 공개"
F031,(주)상상바이오,건강기능식품 소량 OEM/ODM,"건강기능식품,일반식품,소량생산,ODM,기능성 원료",Y,Y,"GMP,HACCP,FDA,SQF",서울/충남 당진/전남 화순,A,https://www.qoem.co.kr/OEM,공개정보확인,"스타트업 소량생산 MVP 최우선 상담","컨셉만 있어도 ODM 가능 및 1천만원 이하 생산 메시지 공개"
F032,이앤에스(주),분말/스틱 OEM/ODM,"분말,스틱,유동층 과립,비타민 분말",Y,Y,"GMP,HACCP",경기 안성,A,https://enscorp.co.kr/production-management/,검색결과확인,"분말 스틱 MOQ와 원료 발주 방식 확인","분말 스틱 기반 OEM/ODM 생산 공개"
F033,(주)에스엘에스,건강기능식품/건강지향식품 OEM/ODM,"건강기능식품,건강지향식품,기획,개발,생산",Y,Y,"GMP,HACCP",미확인,B,https://slsltd.co.kr/oem-odm/,검색결과확인,"제형과 소량 대응 여부 확인","건강기능식품 OEM/ODM 및 전 과정 제공 공개"
F034,한국바이오팜,건강기능식품 OEM/ODM,"건강기능식품,연구개발,제조",Y,Y,"GMP,HACCP",미확인,B,https://koreabiopharm.co.kr/oem-odm,공개정보확인,"대형 건기식 ODM 후보로 분리","30년 제조 경험과 OEM/ODM 서비스 공개"
F035,엔바이오,건강기능식품/음료 OEM/ODM,"이중제형,건강기능식품,혼합음료,과채음료",Y,Y,"GMP,HACCP",미확인,B,https://n-bio.co.kr/business/oem/,검색결과확인,"이중제형과 음료 케이스 분리","이중제형 특허 기반 OEM/ODM 공개"
F036,삼진푸드,소스/분말/농축 OEM/ODM,"소스,분말,농축,완제품,식품소재",Y,Y,미확인,충북 진천,A,https://samjinfoods.co.kr/ceo-message,공개정보확인,"소스 Case 003 대형 후보로 상담","B2B ODM/OEM 및 1,000가지 이상 제품 생산 공개"
F037,매일식품,밀키트/HMR 소스 OEM,"밀키트 소스,HMR 소스,요리소스,대량생산",Y,미확인,미확인,미확인,A,https://maeilfoods.com/media-center/promotional-videos/,공개정보확인,"HMR·프랜차이즈 소스 상담","밀키트·HMR용 소스 OEM 메시지 공개"
F038,하비랑,HACCP 식품 OEM/ODM,"HACCP,맞춤형 솔루션,식품 제조",Y,Y,HACCP,미확인,B,https://www.habirang.co.kr/,검색결과확인,"주력 품목과 MOQ 확인","OEM/ODM 제조 전문 및 HACCP 메시지 공개"
F039,찬들푸드,소스/축산물 OEM/ODM,"소스,축산물,기획,개발,생산,유통",Y,Y,HACCP,미확인,B,https://chandle.co.kr/kor/,검색결과확인,"소스와 육가공 동시 생산 범위 확인","소스류·축산물 가공 HACCP 및 OEM/ODM 공개"
F040,농업회사법인 크레이지피넛 주식회사,견과 스프레드/페이스트 OEM/ODM,"땅콩버터,견과류 스프레드,페이스트,B2B 원료",Y,Y,미확인,미확인,A,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"저당·클린라벨 스프레드 케이스 검증","맞춤형 견과류 스프레드·페이스트 OEM/ODM 공개"
F041,(주)청우식품,소스/시즈닝 제조,"소스,시즈닝,향신료",미확인,미확인,HACCP,미확인,A,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"프랜차이즈 소스 OEM 여부 확인","20년 이상 소스·시즈닝·향신료 제조 노하우 공개"
F042,주식회사 화미,식자재/소스 제조,"식자재,소스,원료,포장",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"B2B 식자재 제조 범위와 OEM 가능 여부 확인","자체 제조시설과 식자재 포트폴리오 공개"
F043,소스나라,맞춤형 소스 OEM,"분말소스,엑기스,프랜차이즈 소스",Y,미확인,미확인,미확인,A,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"소량 MOQ와 샘플 제작 리드타임 확인","분말/엑기스 OEM 맞춤형 소스 제조 공개"
F044,(주)동원홈푸드,식품제조/푸드서비스,"식자재,소스,가공,원료,포장",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"대형 B2B 후보로 별도 분리","식품제조·식자재유통·푸드서비스 토탈 솔루션 공개"
F045,(주)스마일에프앤디,육가공/건강기능/소스 제조,"육가공,건강기능식품,소스,가공",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"소스와 건강기능 품목의 실제 제조 구분 확인","육가공·건강기능식품 전문 제조기업 공개"
F046,(주)엠제이푸드,소스/육수 제조,"막국수 양념,육수,명태회 무침",미확인,미확인,미확인,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"냉면·막국수 프랜차이즈 소스 후보 확인","양념·육수 전문 제조업체 공개"
F047,(주)쿠커페이스,소량 샘플/소분/식품첨가물 제조,"소량 샘플,소분,식품첨가물,소스,음료",미확인,미확인,미확인,미확인,A,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"MVP 샘플 제작 파트너 가능성 확인","스타트업·기획성 소량 샘플제작 지원 공개"
F048,그램웰,간편 육수 제조,"간편육수,소스",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"육수 스틱/소스 제형 가능 여부 확인","간편 육수 전문제조업체 공개"
F049,젠푸드,소스/음료/레토르트 제조,"소스류,음료류,레토르트,식품첨가물",미확인,미확인,미확인,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"레토르트 소스 Case 003 후보 검증","소스·음료·레토르트 식품 전문 제조 공개"
F050,(주)엠에스푸드,사골엑기스/소스 제조,"사골엑기스,소스,육수",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,플랫폼확인,"육수·엑기스 소스 후보로 상담","사골엑기스 전문 제조기업 공개"
F051,주식회사 미쓰리,분말 소스 OEM/ODM,"떡볶이소스,분말소스,요리소스,밀키트",Y,Y,"HACCP,FSSC22000,FDA,VEGAN",경기 광주,A,https://biz.megashow.co.kr/shop/new_detail.php?uid=51645,공개정보확인,"분말 소스 Case 003 최우선 상담","OEM/ODM 의뢰 가능 및 프랜차이즈 납품 공개"
F052,농업회사법인 (주)찬누리비앤에프,HMR/가공식품 후보,"전통식품,HMR,가공,원료,포장",미확인,미확인,HACCP,미확인,B,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"HMR/전통식품 생산품목과 OEM 가능 여부 확인","팩토리플랫폼 HACCP 가공식품 파트너 등재"
F053,꿈틀식품,농수산 가공/원료 후보,"농수산물,가공,원료",미확인,미확인,HACCP,미확인,C,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"주력 품목과 OEM 가능 여부 확인","36년 생산·품질관리 데이터베이스 보유 메시지 공개"
F054,푸드스토어,축산 가공 OEM/PB,"축산물,육가공,바베큐,외식용 가공제품",Y,미확인,미확인,미확인,C,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"육가공 PB/OEM은 MVP 후순위로 보관","육가공 OEM 및 PB상품 생산 공개"
F055,(주)상신종합식품,돈까스/가공식품 OEM/ODM,"돈까스,가공식품,냉동식품,HMR",Y,Y,"HACCP,FSSC22000",미확인,C,https://ss-food.com/page/about/brand.php,공식페이지확인,"냉동식품 대형 후보로 분리","냉동식품 OEM/ODM 식품회사 및 HACCP/FSSC22000 공개"
F056,(주)한만두식품,만두 OEM/ODM,"만두,냉동식품,가공",Y,Y,HACCP,미확인,C,https://www.hanmandoo.com/research/research_010100.html,공식페이지확인,"냉동 만두 카테고리 확장 후보","OEM/ODM 공급 전문기업 및 HACCP 공개"
F057,주식회사 한국제면,생면 제조,"생면,면류,가공",미확인,미확인,HACCP,미확인,C,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"면류 OEM 가능 여부 확인","생면 전문 제조업체 공개"
F058,완도바다식품,해조류 가공식품,"해조류,미역,가공,원료,포장",미확인,미확인,HACCP,완도,C,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"해조류 원료·완제품 가능 범위 확인","해조류 가공 전문 기업 공개"
F059,(주)제이엘푸드,국밥/탕류 원팩 제조,"국밥,탕류,원팩,HMR",미확인,미확인,미확인,미확인,B,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,플랫폼확인,"HMR 원팩 Case 후순위 검증","국밥·탕류 원팩 전문 제조회사 공개"
F060,(주)대호식품,파우더 OEM/ODM,"요거트파우더,카페파우더,커피믹스,국산차,파마산치즈파우더",Y,Y,HACCP,미확인,A,https://daehofood.co.kr/oem,공식페이지확인,"카페 파우더·스틱 분말 Case 002 후보 상담","파우더 OEM/ODM과 HACCP 생산 설비 공개"
F061,RASA F&B,분말 음료 OEM/ODM,"스무디파우더,라떼베이스,아이스티,초코파우더,음료베이스",Y,Y,HACCP,경기 양주,A,https://teamad1009.cafe24.com/,공식페이지확인,"B2B 카페 파우더와 음료베이스 ODM 후보 확인","ODM 계약·분말음료 전용 공장·HACCP 인증 공개"
F062,대동고려삼(주),홍삼/건강기능식품 OEM/ODM,"홍삼,건강기능식품,건강지향식품",Y,Y,"GMP,HACCP",미확인,B,https://ddkorea.co.kr/wp/?page_id=122,공식페이지확인,"홍삼·건강식품 대형 후보로 분리","OEM/ODM 생산 및 GMP/HACCP 홍삼 제조 공개"
F063,헬스앤라이프,건강식품 OEM/ODM,"건강즙,과채가공품,기타가공품,건강기능식품",Y,Y,"GMP,HACCP",미확인,B,https://health-life.co.kr/%ED%9A%8C%EC%82%AC%EC%86%8C%EA%B0%9C/%ED%9A%8C%EC%82%AC%EA%B0%9C%EC%9A%94/,공식페이지확인,"건강즙·액상 제품 후보로 분리","OEM/ODM 전문 기업과 GMP/HACCP 이력 공개"
F064,(주)베지스타,HMR/밀키트 OEM/ODM,"HMR,밀키트,신선편이,간편조리세트",Y,Y,HACCP,인천/괴산,B,https://www.e2news.com/news/articleView.html?idxno=242218,보도확인,"신선편이·밀키트 Case 확장 후보 검증","HMR 제조·밀키트 OEM/ODM 및 HACCP 인증 보도"
F065,프레시지,HMR/밀키트 OEM/ODM,"밀키트,HMR,간편식,퍼블리싱,대기업 OEM",Y,Y,HACCP,경기 용인,B,https://www.albamon.com/jobs/detail-company/xeVlkp4onvGo3xo2oA2sWQ%3D%3D,기업정보확인,"대형 HMR 플랫폼 후보로 별도 분리","신선 HMR 공장과 OEM/ODM 생산 기업정보 공개"
F066,멜로시라바이오,건강기능식품 OEM/ODM,"건강기능식품,자동화설비,HACCP,GMP",Y,Y,"GMP,HACCP",미확인,B,https://melosirabio.kr/default/online/03.php?sub=2&top=3,공식페이지확인,"건기식 제형과 MOQ 확인","건강기능식품 OEM/ODM 사업현황 공개"
F067,비앤비엘,건강식품/건강기능식품 OEM/ODM,"건강식품,건강기능식품,원료개발,완제품",Y,Y,"GMP,HACCP",미확인,B,https://bnbl.info/,공식페이지확인,"원료 개발형 ODM 후보로 상담","GMP/HACCP 시설 기반 OEM/ODM 전문 기업 공개"
F068,셀플러스,파우더/음료 OEM/ODM,"파우더,당류가공품,고형차,기타코코아가공품,음료베이스",Y,Y,"HACCP,FSSC22000,ISO22000",미확인,A,https://www.cellplus.kr/certification,공식페이지확인,"파우더류 인증·B2B 생산 가능 범위 확인","OEM/ODM 메뉴와 파우더류 HACCP 인증 공개"
F069,(주)디알푸드솔루션,수산물 HMR/OEM,"수산물,HMR,PB,OEM,ODM",Y,Y,HACCP,미확인,C,https://www.factory-platform.com/index.html?locale=ko&return_url=%2Fmanufacturer%3Ftpf%3Dproduct%2Fview%26category_code%3D10%2C14%26code%3D161,플랫폼확인,"수산 HMR은 MVP 후순위로 보관","수산물 HMR/OEM 및 맞춤 생산 공개"
F070,프로틴컴퍼니,프로틴/건강분말 OEM/ODM,"프로틴,건강분말,헬스보충제,선식,다이어트식품",Y,Y,HACCP,미확인,A,https://www.factory-platform.com/index.html?locale=ko&return_url=%2Fmanufacturer%3Ftpf%3Dproduct%2Fview%26category_code%3D17%26code%3D214,플랫폼확인,"저당·고단백 Case 001/002 후보 확인","건강분말 식품 제조 및 HACCP 인증 공개"
F071,픽테이블,HMR/밀키트 기획·공급,"국탕찌개,HMR,밀키트,소포장,벌크",미확인,미확인,HACCP,미확인,B,https://biz.megashow.co.kr/shop/new_detail.php?uid=53280,전시정보확인,"HMR 브랜드/플랫폼 협력 후보로 확인","HACCP 인증 제조시설 협력 기반 HMR 공급 공개"
F072,주식회사 힐링,건강기능식품/건강식품 OEM/ODM,"분말스틱,타블렛,유동층과립,추출분말,액상",Y,Y,"GMP,HACCP,FSSC22000,유기가공식품",미확인,A,https://www.healingu.net/,공식페이지확인,"분말스틱·타블렛 Case 002 최우선 상담","건강식품 위탁생산과 OEM/ODM 제품 생산 공개"
F073,케이지랩 주식회사,건강기능식품 OEM/ODM,"추출,농축,과립,음료,연질캡슐,타정,스틱젤리,분말",Y,Y,"GMP,HACCP,FSSC22000,ISO9001",경기 양평,B,https://kglab.co.kr/77,공식페이지확인,"스틱젤리·분말·음료 제형 범위 확인","다양한 제형 생산 및 OEM/ODM 전문기업 공개"
F074,주식회사 셀타디움,건강기능식품/기타가공품 ODM/OEM,"건강기능식품,기타가공품,대량납품",Y,Y,"GMP,HACCP",미확인,B,https://celtadium.com/%EC%9D%B8%EC%82%AC%EB%A7%90/,공식페이지확인,"대량 납품형 건기식 후보로 분리","GMP/HACCP 보유 ODM/OEM 전문회사 공개"
F075,주식회사 이수바이오,건강기능식품/일반식품 OEM/ODM,"건강기능식품,일반식품,음료,천연물소재",Y,Y,"GMP,HACCP",경기 이천,B,https://www.jobploy.kr/ko/company/isu-bio-co-ltd,기업정보확인,"건기식 원료·완제품 생산 범위 확인","OEM/ODM 사업과 GMP/HACCP 키워드 기업정보 공개"
F076,유니크바이오텍,프로폴리스/건강기능식품 OEM/ODM,"프로폴리스,건강기능식품,소재,수출",Y,Y,"GMP,HACCP,FSSC22000,HALAL,ISO22000",미확인,B,https://uniquebiotech.co.kr/certification,공식페이지확인,"프로폴리스 소재·수출 대응 후보로 분리","OEM/ODM 파트너 역량과 인증 현황 공개"
F077,렉스바이오,건강기능식품 OEM/ODM,"건강기능식품,연구개발,제품개발",Y,Y,"GMP,HACCP,ISO22000",미확인,B,https://www.rexbio.co.kr/kr/biz01.php,공식페이지확인,"건기식 ODM 후보로 제형 확인","건강기능식품 사업과 OEM/ODM·GMP/HACCP 공개"
F078,바이오피던스,건강기능식품 OEM/ODM,"환,건강기능식품,일반식품,AI맞춤견적",Y,Y,"GMP,HACCP",경기 남양주,B,https://app.rndcircle.io/company/6480f28d-598b-5ce5-8483-9bc155be21f5,기업정보확인,"환 제형 전문 후보로 분리","환 제형 제조 및 OEM/ODM 서비스 기업정보 공개"
F079,명인양념육,양념육/HMR OEM/ODM,"양념육,HMR,프랜차이즈,라벨,택배대행",Y,Y,HACCP,미확인,C,https://factory-platform.com/manufacturer?category_code=11&code=588&tpf=product%2Fview,플랫폼상세확인,"축산/HMR 확장 후보로 보관","팩토리플랫폼 상세 기준 양념육 OEM/ODM 개발과 HACCP 시설 공개"
F080,(주)이노프레시,종합 식품 제조,"농수산물,축산물,종합식품",미확인,미확인,HACCP,미확인,C,https://factory-platform.com/manufacturer?category_code=11&tpf=product%2Flist,플랫폼확인,"종합식품 OEM 가능 여부 확인","HACCP 인증 종합 식품 제조업체 공개"
F081,(주)삼아푸드,소스 제조,"소스,천연조미료,HACCP",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&is_sub=y&nature_url=manufacturer&orderBy=3&page=2&status=y&tpf=product%2Flist&url=manufacturer,플랫폼확인,"프랜차이즈 소스 OEM 가능 여부 확인","HACCP 인증 소스업체 공개"
F082,(주)다고내푸드,소스 제조,"소스,HACCP",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&is_sub=y&nature_url=manufacturer&orderBy=3&page=2&status=y&tpf=product%2Flist&url=manufacturer,플랫폼확인,"소스 샘플 개발 가능 여부 확인","HACCP 인증 소스 제조업체 공개"
F083,(주)신성티엔에프,축산농축액/소스 제조,"축산농축액,소스,가공,HACCP",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&is_sub=y&nature_url=manufacturer&orderBy=3&page=2&status=y&tpf=product%2Flist&url=manufacturer,플랫폼확인,"육수·엑기스 소스 후보로 상담","순수 축산농축액 전문 제조 공개"
F084,(주)데어리랜드,분말치즈 제조,"분말치즈,파마산치즈,소스,HACCP",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&is_sub=y&nature_url=manufacturer&orderBy=3&page=2&status=y&tpf=product%2Flist&url=manufacturer,플랫폼확인,"시즈닝·분말치즈 원료 후보 확인","분말치즈 전문 제조업체 공개"
F085,하주푸드,소스 제조,"소스,프랜차이즈,HACCP",미확인,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&is_sub=y&nature_url=manufacturer&orderBy=3&page=2&status=y&tpf=product%2Flist&url=manufacturer,플랫폼확인,"프랜차이즈 소스 생산 가능 범위 확인","소스 전문 제조업체 공개"
F086,(주)정이푸드빌,B2B 간편식 OEM/ODM,"B2B간편식,소스,축산물,가공,HACCP",Y,Y,HACCP,미확인,B,https://www.jungefood.com/,공식페이지확인,"간편식·소스 복합 후보로 검증","20년 노하우의 B2B 간편식 OEM/ODM 제조와 HACCP 공개"
F087,하남소스,프랜차이즈 소스 OEM/ODM,"액상소스,분말소스,원팩,된장찌개분말소스,김치찌개분말소스",Y,Y,미확인,미확인,A,https://hanamsc.com/,공식페이지확인,"소스 Case 003 소량/대량 제작 조건 확인","프랜차이즈 OEM/ODM 파트너와 액상·분말소스 공개"
F088,더밥,분말소스 OEM/ODM,"분말소스,비건소스,임가공,소량생산",Y,Y,HACCP,미확인,A,https://thebab.kr/page/index?tpl=etc%2Fb2b_info.html,공식페이지확인,"비건 분말소스와 소량 생산 조건 확인","분말소스 OEM/ODM/임가공 및 HACCP 공개"
F089,에스팩토리,소스 OEM/ODM,"수출용소스,K소스,냉장소스,냉동소스,상온소스",Y,Y,HACCP,경북 경산,A,https://s-factory.kr/business/business_01.php,공식페이지확인,"수출용 K-소스 Case 003 후보 상담","소스 OEM/ODM 전문 및 HACCP 기반 수출 대응 공개"
F090,주식회사 유명식품,소스 OEM/ODM,"브랜드용소스,PB상품,스마트해썹,프랜차이즈",Y,Y,"HACCP,스마트HACCP",미확인,A,https://yumyeongfood.com/,공식페이지확인,"PB 소스 개발 및 샘플 프로세스 확인","OEM/ODM 사업과 소스 개발 공개"
F091,소스토랑,소스 OEM/ODM,"프랜차이즈소스,홈쇼핑,대형마트,샘플제작",Y,Y,미확인,미확인,B,https://saucetaurant.com/article/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/1/3/,공식페이지확인,"샘플비·MOQ·레시피 보안 조건 확인","소스 OEM/ODM 진행 절차 공개"
